Source,Target,Type
House263,NQS - Calle 30 S,Undirected
House264,SENA,Undirected
House265,Santa Isabel,Undirected
House266,Carrera 43,Undirected
House267,Museo del Oro,Undirected
House268,Molinos,Undirected
House269,Quiroga,Undirected
House270,Quiroga,Undirected
House271,Molinos,Undirected
House272,Quiroga,Undirected
House273,Quiroga,Undirected
House274,Quiroga,Undirected
House275,Molinos,Undirected
House276,Quiroga,Undirected
House277,Socorro,Undirected
House278,Molinos,Undirected
House279,Quiroga,Undirected
House280,Quiroga,Undirected
House281,Molinos,Undirected
House282,Molinos,Undirected
House283,Portal de Usme,Undirected
House284,Portal de Usme,Undirected
House285,Portal de Usme,Undirected
House286,Portal de Usme,Undirected
House287,Portal de Usme,Undirected
House288,Portal de Usme,Undirected
House289,Portal de Usme,Undirected
House290,Portal de Usme,Undirected
House291,Portal de Usme,Undirected
House292,Portal de Usme,Undirected
House293,Portal de Usme,Undirected
House294,Portal de Usme,Undirected
House295,Portal de Usme,Undirected
House296,Portal de Usme,Undirected
House297,Portal de Usme,Undirected
House298,Portal de Usme,Undirected
House299,Portal de Usme,Undirected
House300,Portal de Usme,Undirected
House301,Portal de Usme,Undirected
House302,Portal de Usme,Undirected
House303,Portal de Usme,Undirected
House304,Portal de Usme,Undirected
House305,Portal del Tunal,Undirected
House306,Portal de Usme,Undirected
House307,Portal de Usme,Undirected
House308,Portal de Usme,Undirected
House309,Portal de Usme,Undirected
School310,Portal del Norte,Undirected
School311,Terminal,Undirected
School312,Calle 161,Undirected
School313,Toberín,Undirected
School314,Calle 57,Undirected
School315,Marly,Undirected
School316,Universidades,Undirected
School317,Portal 20 de Julio,Undirected
School318,Policarpa,Undirected
School319,Portal 20 de Julio,Undirected
School320,Portal 20 de Julio,Undirected
School321,Portal de Usme,Undirected
School322,Portal de Usme,Undirected
School323,Portal de Usme,Undirected
School324,Portal de Usme,Undirected
School325,Socorro,Undirected
School326,Portal del Tunal,Undirected
School327,Portal de las Américas,Undirected
School328,Bosa,Undirected
School329,Portal de las Américas,Undirected
School330,Portal de las Américas,Undirected
School331,La Despensa,Undirected
School332,Mandalay,Undirected
School333,Biblioteca Tintal,Undirected
School334,Banderas,Undirected
School335,Banderas,Undirected
School336,Transversal 86,Undirected
School337,Banderas,Undirected
School338,Portal del Sur,Undirected
School339,Transversal 86,Undirected
School340,Portal del Sur,Undirected
School341,Portal El Dorado,Undirected
School342,Portal El Dorado,Undirected
School343,Portal El Dorado,Undirected
School344,Carrera 47,Undirected
School345,Ferias,Undirected
School346,Carrera 90,Undirected
School347,Portal de la 80,Undirected
School348,Quirigua,Undirected
School349,Quirigua,Undirected
School350,Portal de la 80,Undirected
School351,Portal de Suba,Undirected
School352,Terminal,Undirected
School353,Terminal,Undirected
School354,Portal de Suba,Undirected
School355,Terminal,Undirected
School356,Terminal,Undirected
School357,Suba - TV. 91,Undirected
School358,21 Ángeles,Undirected
School359,AV. Cali,Undirected
School360,Carrera 53,Undirected
School361,Simón Bolívar,Undirected
School362,Movistar Arena,Undirected
School363,Gobernación,Undirected
School364,San Fason Carrera 22,Undirected
School365,SENA,Undirected
School366,NQS - Calle 30 S,Undirected
School367,Américas - Carrera 53A,Undirected
School368,Las Aguas,Undirected
School369,Quiroga,Undirected
School370,Consuelo,Undirected
